feature,psi,ks,band
month,9.243535332707188,0.6387826376184933,significant
month_sin,9.15176276968492,0.7006485947114585,significant
OT_roll_max_168,8.157808141091401,0.67196075170464,significant
OT_roll_max_48,6.675957734894162,0.6392920995647807,significant
OT_roll_max_24,6.517286937065384,0.6103664282942514,significant
OT_roll_mean_168,6.474391337081177,0.5936110819196444,significant
OT_roll_mean_48,5.383282933998482,0.5792449012143763,significant
OT_roll_mean_24,5.381568695983371,0.5658978484585375,significant
OT_roll_min_168,5.3232926969892045,0.46898386828538163,significant
OT_lag_168,5.309636446035901,0.5435518884271536,significant
OT_lag_24,4.674370643015773,0.531577832215612,significant
OT_lag_72,4.6718372992354755,0.5355691842861259,significant
OT_lag_48,4.667173597243547,0.5335735082508689,significant
OT_lag_12,4.6576345223756075,0.5305799941979834,significant
OT_lag_6,4.651401760138052,0.5300810751891692,significant
OT_lag_3,4.647684701249002,0.5298316156847621,significant
OT_lag_2,4.646693237875553,0.5297484625166264,significant
OT_lag_1,4.645704942494155,0.5296653093484907,significant
OT_target,4.644719816719461,0.529582156180355,significant
month_cos,4.590801415768279,0.23349409612506236,significant
OT_roll_min_24,4.240345680149917,0.5134630250680445,significant
OT_roll_min_48,4.172886131032591,0.501542159676529,significant
OT_roll_std_48,0.9537745312888541,0.40322392825088926,significant
OT_roll_std_24,0.8562822824615477,0.3754314187018787,significant
OT_roll_std_168,0.5563616034109496,0.3379032886142737,significant
day,0.015528877305075996,0.057279507216300596,stable
dayofweek,0.000862505419224574,0.007294556409306763,stable
dow_cos,0.0008623109901332974,0.0108451456744878,stable
dow_sin,0.0006353129569851348,0.007101178530362129,stable
hour,5.761232961901884e-06,0.000994777164813665,stable
hour_cos,4.307344500658569e-06,0.0008708126258138993,stable
hour_sin,3.5538158037792995e-06,0.0007625604645966066,stable
is_weekend,0.0,0.007101178530362073,stable
