feature,gain,split
OT_lag_1,6175468.395780325,1076
OT_lag_2,1126657.3384822607,308
hour_cos,30155.506492853165,715
OT_roll_max_168,18209.439056396484,212
OT_roll_max_48,15434.019247293472,216
OT_roll_min_24,13628.014977931976,308
OT_roll_mean_168,13234.441199302673,422
OT_roll_mean_24,12706.962077140808,250
OT_roll_max_24,12525.467463970184,255
day,11901.796861886978,287
hour,10507.779005527496,412
OT_roll_std_48,8325.274203300476,384
OT_lag_24,7297.616387605667,309
hour_sin,6029.869371891022,259
OT_roll_std_168,5996.492593050003,429
OT_lag_6,5152.224301815033,281
OT_lag_168,5084.926769733429,362
OT_lag_48,5045.14656829834,279
OT_roll_std_24,4810.887760400772,381
OT_lag_12,4025.375719308853,252
OT_lag_3,3948.356600522995,258
OT_roll_mean_48,3573.9400680065155,261
OT_lag_72,3536.1303400993347,303
OT_roll_min_48,2379.3386874198914,170
month,2302.9069724082947,143
